Codigo_dane;Municipio;Departamento
5001;Medellin;Antioquia
5002;Abejorral;Antioquia
5004;Abriaqui;Antioquia
5030;Amaga;Antioquia
5031;Amalfi;Antioquia
5034;Andes;Antioquia
5036;Angelopolis;Antioquia
5040;Anori;Antioquia
5042;Santafe de Antioquia;Antioquia
5044;Anza;Antioquia
5045;Apartado;Antioquia
5055;Argelia - Antioquia;Antioquia
5079;Barbosa - Antioquia;Antioquia
5086;Belmira;Antioquia
5088;Bello;Antioquia
5107;Briceño - Antioquia;Antioquia
5113;Buritica;Antioquia
5120;Caceres;Antioquia
5129;Caldas - Antioquia;Antioquia
5138;Cañasgordas;Antioquia
5142;Caracoli;Antioquia
5154;Caucasia;Antioquia
5172;Chigorodo;Antioquia
5190;Cisneros;Antioquia
5197;Cocorna;Antioquia
5234;Dabeiba;Antioquia
5237;Don Matias;Antioquia
5240;Ebejico;Antioquia
5250;El Bagre;Antioquia
5266;Envigado;Antioquia
5282;Fredonia;Antioquia
5284;Frontino;Antioquia
5308;Girardota;Antioquia
5310;Gomez Plata;Antioquia
5347;Heliconia;Antioquia
5360;Itagui;Antioquia
5376;La Ceja;Antioquia
5390;La Pintada;Antioquia
5400;La Union - Antioquia;Antioquia
5425;Maceo;Antioquia
5467;Montebello;Antioquia
5480;Mutata;Antioquia
5495;Nechi;Antioquia
5579;Puerto Berrio;Antioquia
5585;Puerto Nare;Antioquia
5591;Puerto Triunfo;Antioquia
5604;Remedios;Antioquia
5607;Retiro;Antioquia
5615;Rionegro - Antioquia;Antioquia
5642;Salgar;Antioquia
5649;San Carlos - Antioquia;Antioquia
5660;San Luis - Antioquia;Antioquia
5667;San Rafael;Antioquia
5670;San Roque;Antioquia
5679;Santa Barbara - Antioquia;Antioquia
5686;Santa Rosa de Osos;Antioquia
5690;Santo Domingo;Antioquia
5736;Segovia;Antioquia
5756;Sonson;Antioquia
5761;Sopetran;Antioquia
5790;Taraza;Antioquia
5792;Tarso;Antioquia
5809;Titiribi;Antioquia
5819;Toledo - Antioquia;Antioquia
5842;Uramita;Antioquia
5854;Valdivia;Antioquia
5856;Valparaiso - Antioquia;Antioquia
5858;Vegachi;Antioquia
5861;Venecia - Antioquia;Antioquia
5885;Yali;Antioquia
5887;Yarumal;Antioquia
5890;Yolombo;Antioquia
5895;Zaragoza;Antioquia
8001;Barranquilla;Atlantico
8372;Juan de Acosta;Atlantico
8421;Luruaco;Atlantico
8436;Manati;Atlantico
8573;Puerto Colombia;Atlantico
8606;Repelon;Atlantico
8638;Sabanalarga - Atlantico;Atlantico
8832;Tubara;Atlantico
11001;Bogota, D.C.;Bogota, D.C.
13001;Cartagena;Bolivar
13006;Achi;Bolivar
13042;Arenal;Bolivar
13062;Arroyohondo;Bolivar
13074;Barranco de Loba;Bolivar
13212;Cordoba - Bolivar;Bolivar
13222;Clemencia;Bolivar
13300;Hatillo de Loba;Bolivar
13430;Magangue;Bolivar
13440;Margarita;Bolivar
13458;Montecristo;Bolivar
13473;Morales - Bolivar;Bolivar
13490;Norosi;Bolivar
13600;Rio Viejo;Bolivar
13655;San Jacinto del Cauca;Bolivar
13657;San Juan Nepomuceno;Bolivar
13667;San Martin de Loba;Bolivar
13673;Santa Catalina;Bolivar
13688;Santa Rosa del Sur;Bolivar
13744;Simiti;Bolivar
13836;Turbaco;Bolivar
15001;Tunja;Boyaca
15092;Beteitiva;Boyaca
15097;Boavita;Boyaca
15104;Boyaca - Boyaca;Boyaca
15114;Busbanza;Boyaca
15180;Chiscas;Boyaca
15183;Chita;Boyaca
15187;Chivata;Boyaca
15215;Corrales;Boyaca
15224;Cucaita;Boyaca
15232;Chiquiza;Boyaca
15238;Duitama;Boyaca
15272;Firavitoba;Boyaca
15296;Gameza;Boyaca
15322;Guateque;Boyaca
15325;Guayata;Boyaca
15362;Iza;Boyaca
15368;Jerico - Boyaca;Boyaca
15403;La Uvita;Boyaca
15407;Villa de Leyva;Boyaca
15442;Maripi;Boyaca
15464;Mongua;Boyaca
15466;Mongui;Boyaca
15469;Moniquira;Boyaca
15476;Motavita;Boyaca
15480;Muzo;Boyaca
15491;Nobsa;Boyaca
15500;Oicata;Boyaca
15516;Paipa;Boyaca
15531;Pauna;Boyaca
15537;Paz de Rio;Boyaca
15542;Pesca;Boyaca
15572;Puerto Boyaca;Boyaca
15580;Quipama;Boyaca
15600;Raquira;Boyaca
15621;Rondon;Boyaca
15632;Saboya;Boyaca
15638;Sachica;Boyaca
15646;Samaca;Boyaca
15673;San Mateo;Boyaca
15681;San Pablo de Borbur;Boyaca
15693;Santa Rosa de Viterbo;Boyaca
15720;Sativanorte;Boyaca
15723;Sativasur;Boyaca
15755;Socota;Boyaca
15757;Socha;Boyaca
15759;Sogamoso;Boyaca
15762;Sora;Boyaca
15790;Tasco;Boyaca
15806;Tibasosa;Boyaca
15820;Topaga;Boyaca
15837;Tuta;Boyaca
15842;Umbita;Boyaca
17001;Manizales;Caldas
17013;Aguadas;Caldas
17042;Anserma;Caldas
17088;Belalcazar;Caldas
17174;Chinchina;Caldas
17272;Filadelfia;Caldas
17380;La Dorada;Caldas
17388;La Merced;Caldas
17442;Marmato;Caldas
17486;Neira;Caldas
17524;Palestina - Caldas;Caldas
17541;Pensilvania;Caldas
17614;Riosucio - Caldas;Caldas
17777;Supia;Caldas
17867;Victoria;Caldas
17877;Viterbo;Caldas
18001;Florencia - Caqueta;Caqueta
18247;El Doncello;Caqueta
18592;Puerto Rico - Caqueta;Caqueta
19001;Popayan;Cauca
19110;Buenos Aires;Cauca
19142;Caloto;Cauca
19212;Corinto;Cauca
19256;El Tambo - Cauca;Cauca
19300;Guachene;Cauca
19318;Guapi;Cauca
19392;La Sierra;Cauca
19418;Lopez;Cauca
19450;Mercaderes;Cauca
19532;Patia;Cauca
19533;Piamonte;Cauca
19573;Puerto Tejada;Cauca
19622;Rosas;Cauca
19698;Santander de Quilichao;Cauca
19701;Santa Rosa - Cauca;Cauca
19809;Timbiqui;Cauca
19845;Villa Rica;Cauca
20001;Valledupar;Cesar
20032;Astrea;Cesar
20045;Becerril;Cesar
20060;Bosconia;Cesar
20178;Chiriguana;Cesar
20238;El Copey;Cesar
20250;El Paso;Cesar
20295;Gamarra;Cesar
20383;La Gloria;Cesar
20400;La Jagua de Ibirico;Cesar
20443;Manaure - Cesar;Cesar
20770;San Martin - Cesar;Cesar
23001;Monteria;Cordoba
23068;Ayapel;Cordoba
23189;Cienaga de Oro;Cordoba
23350;La Apartada;Cordoba
23466;Montelibano;Cordoba
23555;Planeta Rica;Cordoba
23580;Puerto Libertador;Cordoba
23586;Purisima;Cordoba
23678;San Carlos - Cordoba;Cordoba
23682;San Jose de Ure;Cordoba
