codigo_proyecto;codigo_recurso;año;trimestre;unidad_medida;tipo_contraprestacion;valor_contraprestacion;cantidad_producida
1;1;2023;1;TONELADAS;REGALIAS;1376849;5543
1;1;2023;2;TONELADAS;REGALIAS;6047739;22264
1;2;2023;1;METROS CUBICOS;REGALIAS;23502864;82492
1;2;2023;2;METROS CUBICOS;REGALIAS;2115523;6574
1;3;2023;1;METROS CUBICOS;REGALIAS;2678874;21535
1;3;2023;2;METROS CUBICOS;REGALIAS;2823888;20098
1;4;2023;1;METROS CUBICOS;REGALIAS;31589078;117926
1;4;2023;2;METROS CUBICOS;REGALIAS;35892961;118631
1;5;2023;1;GRAMOS;REGALIAS;6525312;736
1;6;2023;1;GRAMOS;REGALIAS;34475;300
1;7;2023;2;TONELADAS;REGALIAS;2088159;7442
1;5;2023;1;GRAMOS;REGALIAS;825784;93
1;5;2023;1;GRAMOS;REGALIAS;240772;26
1;5;2023;1;GRAMOS;REGALIAS;846017;92
1;5;2023;2;GRAMOS;REGALIAS;139392;15
1;5;2023;2;GRAMOS;REGALIAS;61062;7
1;6;2023;1;GRAMOS;REGALIAS;1907;17
1;6;2023;1;GRAMOS;REGALIAS;418;4
1;6;2023;1;GRAMOS;REGALIAS;1635;14
1;6;2023;2;GRAMOS;REGALIAS;186;2
1;6;2023;2;GRAMOS;REGALIAS;69;1
1;8;2023;2;TONELADAS;REGALIAS;320482568;14678
1;1;2023;1;TONELADAS;REGALIAS;1484382;5291
1;1;2023;2;TONELADAS;REGALIAS;4591751;16366
1;2;2023;1;METROS CUBICOS;REGALIAS;15831359;0
1;9;2023;1;TONELADAS;REGALIAS;1889958;1863
1;7;2023;1;TONELADAS;REGALIAS;1114483;3972
1;7;2023;2;TONELADAS;REGALIAS;2656817;9469
1;10;2023;1;TONELADAS;REGALIAS;3554989;3103
1;10;2023;2;TONELADAS;REGALIAS;3535305;2732
1;5;2023;1;GRAMOS;REGALIAS;61140056;6897
1;5;2023;1;GRAMOS;REGALIAS;241067063;24915
1;5;2023;1;GRAMOS;REGALIAS;171289644;1782
1;5;2023;2;GRAMOS;REGALIAS;207443506;21016
1;5;2023;2;GRAMOS;REGALIAS;192497954;19166
1;5;2023;2;GRAMOS;REGALIAS;124181390;12886
1;6;2023;1;GRAMOS;REGALIAS;113873;1112
1;6;2023;1;GRAMOS;REGALIAS;20925;1819
1;6;2023;1;GRAMOS;REGALIAS;129142;1167
1;6;2023;2;GRAMOS;REGALIAS;325218;308
1;6;2023;2;GRAMOS;REGALIAS;174516;1547
1;6;2023;2;GRAMOS;REGALIAS;150411;1322
1;5;2023;1;GRAMOS;REGALIAS;5657509;730
1;5;2023;1;GRAMOS;REGALIAS;37955826;5027
1;5;2023;1;GRAMOS;REGALIAS;313382745;41301
1;5;2023;2;GRAMOS;REGALIAS;235949077;30468
1;5;2023;2;GRAMOS;REGALIAS;208387806;26064
1;5;2023;2;GRAMOS;REGALIAS;306771066;3433
1;6;2023;1;GRAMOS;REGALIAS;4301;46
1;6;2023;1;GRAMOS;REGALIAS;69003;730
1;6;2023;1;GRAMOS;REGALIAS;218128;2346
1;6;2023;2;GRAMOS;REGALIAS;339962;3943
1;6;2023;2;GRAMOS;REGALIAS;152448;1647
1;6;2023;2;GRAMOS;REGALIAS;447549;4013
1;8;2023;2;TONELADAS;REGALIAS;88513450;4054
1;11;2023;2;TONELADAS;REGALIAS;7661537;5978
1;5;2023;1;GRAMOS;REGALIAS;1305418366;283556
1;5;2023;1;GRAMOS;REGALIAS;898930244;185687
1;5;2023;1;GRAMOS;REGALIAS;893955125;154877
1;5;2023;2;GRAMOS;REGALIAS;717588074;124597
1;5;2023;2;GRAMOS;REGALIAS;520772754;90779
1;5;2023;2;GRAMOS;REGALIAS;227339761;3454
1;6;2023;1;GRAMOS;REGALIAS;26587338;277844
1;6;2023;1;GRAMOS;REGALIAS;897202;15308
1;6;2023;1;GRAMOS;REGALIAS;798706;11671
1;6;2023;2;GRAMOS;REGALIAS;728095;10382
1;6;2023;2;GRAMOS;REGALIAS;64169;9863
1;6;2023;2;GRAMOS;REGALIAS;404274;4399
1;12;2023;1;GRAMOS;REGALIAS;3535050;692
1;13;2023;2;METROS CUBICOS;REGALIAS;20600506;65937
1;2;2023;1;METROS CUBICOS;REGALIAS;3501224;18329
1;2;2023;2;METROS CUBICOS;REGALIAS;3276698;15187
1;4;2023;2;METROS CUBICOS;REGALIAS;2083287;1027
1;5;2023;1;GRAMOS;REGALIAS;20802893;2387
1;5;2023;1;GRAMOS;REGALIAS;43750846;492
1;5;2023;1;GRAMOS;REGALIAS;66697251;7292
1;5;2023;2;GRAMOS;REGALIAS;37588092;4102
1;5;2023;2;GRAMOS;REGALIAS;73503066;7867
1;5;2023;2;GRAMOS;REGALIAS;66029186;7089
1;6;2023;1;GRAMOS;REGALIAS;63595;592
1;6;2023;1;GRAMOS;REGALIAS;6804;591
1;6;2023;1;GRAMOS;REGALIAS;123214;1073
1;6;2023;2;GRAMOS;REGALIAS;10884;994
1;6;2023;2;GRAMOS;REGALIAS;190708;1767
1;6;2023;2;GRAMOS;REGALIAS;189457;1636
1;5;2023;1;GRAMOS;REGALIAS;810525;88
1;5;2023;2;GRAMOS;REGALIAS;423727;46
1;5;2023;2;GRAMOS;REGALIAS;1264694;136
1;6;2023;1;GRAMOS;REGALIAS;1201;11
1;6;2023;2;GRAMOS;REGALIAS;342;3
1;6;2023;2;GRAMOS;REGALIAS;2356;21
1;1;2023;2;TONELADAS;REGALIAS;2513376;28414
1;5;2023;2;GRAMOS;REGALIAS;1540008;166
1;6;2023;2;GRAMOS;REGALIAS;2078;18
1;13;2023;2;METROS CUBICOS;REGALIAS;6816150;24294
1;5;2023;1;GRAMOS;REGALIAS;5460530;624
1;5;2023;1;GRAMOS;REGALIAS;30869227;3584
1;5;2023;1;GRAMOS;REGALIAS;32666969;4048
1;5;2023;2;GRAMOS;REGALIAS;33033021;3902
1;5;2023;2;GRAMOS;REGALIAS;20136669;2164
1;5;2023;2;GRAMOS;REGALIAS;30262099;344
1;6;2023;1;GRAMOS;REGALIAS;275102;2587
1;6;2023;1;GRAMOS;REGALIAS;325465;2951
1;6;2023;1;GRAMOS;REGALIAS;632373;5551
1;6;2023;2;GRAMOS;REGALIAS;391588;362
1;6;2023;2;GRAMOS;REGALIAS;550558;5155
1;6;2023;2;GRAMOS;REGALIAS;385709;3356
1;5;2023;1;GRAMOS;REGALIAS;42261;58
1;5;2023;1;GRAMOS;REGALIAS;650186;90
1;6;2023;1;GRAMOS;REGALIAS;847;9
1;6;2023;1;GRAMOS;REGALIAS;1077;11
1;2;2023;1;METROS CUBICOS;REGALIAS;5133382;18018
1;2;2023;2;METROS CUBICOS;REGALIAS;6782691;21077
1;4;2023;1;METROS CUBICOS;REGALIAS;19138966;90178
1;4;2023;2;METROS CUBICOS;REGALIAS;13277146;43883
1;5;2023;1;GRAMOS;REGALIAS;1777097;395
1;5;2023;1;GRAMOS;REGALIAS;569796;124
1;5;2023;2;GRAMOS;REGALIAS;436452;93
1;5;2023;2;GRAMOS;REGALIAS;827274;178
1;6;2023;1;GRAMOS;REGALIAS;209;36
1;6;2023;1;GRAMOS;REGALIAS;578;11
1;6;2023;2;GRAMOS;REGALIAS;351;7
1;6;2023;2;GRAMOS;REGALIAS;783;14
1;2;2023;1;METROS CUBICOS;REGALIAS;174099;0
1;4;2023;1;METROS CUBICOS;REGALIAS;26045;0
1;4;2023;2;METROS CUBICOS;REGALIAS;213247;0
1;5;2023;1;GRAMOS;REGALIAS;33118599;3763
1;6;2023;1;GRAMOS;REGALIAS;107123;961
1;14;2023;1;KILOGRAMOS;REGALIAS;85665830;621
1;14;2023;1;KILOGRAMOS;REGALIAS;17633472;12057
1;14;2023;2;KILOGRAMOS;REGALIAS;213397547;127699
1;2;2023;2;METROS CUBICOS;REGALIAS;619112;1924
1;3;2023;2;METROS CUBICOS;REGALIAS;4809782;34232
1;5;2023;1;GRAMOS;REGALIAS;5486655948;629377
1;5;2023;1;GRAMOS;REGALIAS;3480471046;379892
1;5;2023;1;GRAMOS;REGALIAS;8528109387;942389
1;5;2023;2;GRAMOS;REGALIAS;3648186420;390337
1;5;2023;2;GRAMOS;REGALIAS;8430824457;909334
1;5;2023;2;GRAMOS;REGALIAS;6635928630;712362
1;6;2023;1;GRAMOS;REGALIAS;213950805;2058344
1;6;2023;1;GRAMOS;REGALIAS;31660630;275156
1;6;2023;1;GRAMOS;REGALIAS;411408205;3617243
1;6;2023;2;GRAMOS;REGALIAS;31177158;291473
1;6;2023;2;GRAMOS;REGALIAS;343584435;3125859
1;6;2023;2;GRAMOS;REGALIAS;241601564;2131233
1;2;2023;1;METROS CUBICOS;REGALIAS;26841;942
1;15;2023;2;METROS CUBICOS;REGALIAS;740;0
1;4;2023;1;METROS CUBICOS;REGALIAS;58883;2198
1;5;2023;1;GRAMOS;REGALIAS;86748424;8775
1;5;2023;1;GRAMOS;REGALIAS;180241610;18289
1;5;2023;1;GRAMOS;REGALIAS;321612159;35929
1;5;2023;2;GRAMOS;REGALIAS;71253824;6564
1;5;2023;2;GRAMOS;REGALIAS;388468022;40319
1;5;2023;2;GRAMOS;REGALIAS;370433550;38381
1;6;2023;1;GRAMOS;REGALIAS;167987;1472
1;6;2023;1;GRAMOS;REGALIAS;253102;223
1;6;2023;1;GRAMOS;REGALIAS;526108;4842
1;6;2023;2;GRAMOS;REGALIAS;58494;547
1;6;2023;2;GRAMOS;REGALIAS;516889;4634
1;6;2023;2;GRAMOS;REGALIAS;44816;3941
1;2;2023;1;METROS CUBICOS;REGALIAS;425941;57061
1;5;2023;1;GRAMOS;REGALIAS;85738201;9748
1;5;2023;1;GRAMOS;REGALIAS;69818400;7841
1;5;2023;1;GRAMOS;REGALIAS;89583368;9773
1;5;2023;2;GRAMOS;REGALIAS;56575517;6165
1;5;2023;2;GRAMOS;REGALIAS;159720850;17128
1;5;2023;2;GRAMOS;REGALIAS;91664081;9842
1;6;2023;1;GRAMOS;REGALIAS;236861;2122
1;6;2023;1;GRAMOS;REGALIAS;34978;304
1;6;2023;1;GRAMOS;REGALIAS;91337;796
1;6;2023;2;GRAMOS;REGALIAS;142207;1299
1;6;2023;2;GRAMOS;REGALIAS;362017;331
1;6;2023;2;GRAMOS;REGALIAS;223103;1926
1;5;2023;1;GRAMOS;REGALIAS;6628058;748
1;5;2023;1;GRAMOS;REGALIAS;14329114;1593
1;6;2023;1;GRAMOS;REGALIAS;859;7
1;6;2023;1;GRAMOS;REGALIAS;35918;312
1;2;2023;1;METROS CUBICOS;REGALIAS;1281303;4497
1;4;2023;1;METROS CUBICOS;REGALIAS;2810883;10494
1;5;2023;1;GRAMOS;REGALIAS;7400793020;831386
1;5;2023;1;GRAMOS;REGALIAS;9023954290;988322
1;5;2023;1;GRAMOS;REGALIAS;8353419595;934976
1;5;2023;2;GRAMOS;REGALIAS;6436707508;681943
1;5;2023;2;GRAMOS;REGALIAS;8293589807;881649
1;5;2023;2;GRAMOS;REGALIAS;7940074965;844063
1;6;2023;1;GRAMOS;REGALIAS;8070832;71122
1;6;2023;1;GRAMOS;REGALIAS;9650253;85269
1;6;2023;1;GRAMOS;REGALIAS;9193098;87391
1;6;2023;2;GRAMOS;REGALIAS;6843981;63688
1;6;2023;2;GRAMOS;REGALIAS;9680924;85317
1;6;2023;2;GRAMOS;REGALIAS;7831938;69072
1;12;2023;2;GRAMOS;REGALIAS;2637;0
1;2;2023;2;METROS CUBICOS;REGALIAS;1298499;4035
1;4;2023;2;METROS CUBICOS;REGALIAS;2420484;8
