codigo_municipio;codigo_proyecto;codigo_recurso;año;trimestre;tipo_contraprestacion;valor_contraprestacion;cantidad_producida
5001;1;1;2023;1;REGALIAS;1376849,00;5543
5001;1;1;2023;2;REGALIAS;6047739,00;22264
5001;1;2;2023;1;REGALIAS;23502864,00;133637.04
5001;1;2;2023;2;REGALIAS;2115523,00;10649.88
5001;1;3;2023;1;REGALIAS;2678874,00;43070
5001;1;3;2023;2;REGALIAS;2823888,00;40196
5001;1;4;2023;1;REGALIAS;31589078,00;283022.4
5001;1;4;2023;2;REGALIAS;35892961,00;284714.4
5001;1;5;2023;1;REGALIAS;6525312,00;0.000736
5001;1;6;2023;1;REGALIAS;34475,00;0.0003
5002;1;7;2023;2;REGALIAS;2088159,00;7442
5004;1;5;2023;1;REGALIAS;825784,00;0.000093
5004;1;5;2023;1;REGALIAS;240772,00;0.000026
5004;1;5;2023;1;REGALIAS;846017,00;0.000092
5004;1;5;2023;2;REGALIAS;139392,00;0.000015
5004;1;5;2023;2;REGALIAS;61062,00;0.000007
5004;1;6;2023;1;REGALIAS;1907,00;0.000017
5004;1;6;2023;1;REGALIAS;418,00;0.000004
5004;1;6;2023;1;REGALIAS;1635,00;0.000014
5004;1;6;2023;2;REGALIAS;186,00;0.000002
5004;1;6;2023;2;REGALIAS;69,00;0.000001
5030;1;8;2023;2;REGALIAS;320482568,00;14678
5030;1;1;2023;1;REGALIAS;1484382,00;5291
5030;1;1;2023;2;REGALIAS;4591751,00;16366
5030;1;2;2023;1;REGALIAS;15831359,00;0
5031;1;9;2023;1;REGALIAS;1889958,00;1863
5031;1;7;2023;1;REGALIAS;1114483,00;3972
5031;1;7;2023;2;REGALIAS;2656817,00;9469
5031;1;10;2023;1;REGALIAS;3554989,00;3103
5031;1;10;2023;2;REGALIAS;3535305,00;2732
5031;1;5;2023;1;REGALIAS;61140056,00;0.006897
5031;1;5;2023;1;REGALIAS;241067063,00;0.024915
5031;1;5;2023;1;REGALIAS;171289644,00;0.001782
5031;1;5;2023;2;REGALIAS;207443506,00;0.021016
5031;1;5;2023;2;REGALIAS;192497954,00;0.019166
5031;1;5;2023;2;REGALIAS;124181390,00;0.012886
5031;1;6;2023;1;REGALIAS;113873,00;0.001112
5031;1;6;2023;1;REGALIAS;20925,00;0.001819
5031;1;6;2023;1;REGALIAS;129142,00;0.001167
5031;1;6;2023;2;REGALIAS;325218,00;0.000308
5031;1;6;2023;2;REGALIAS;174516,00;0.001547
5031;1;6;2023;2;REGALIAS;150411,00;0.001322
5034;1;5;2023;1;REGALIAS;5657509,00;0.00073
5034;1;5;2023;1;REGALIAS;37955826,00;0.005027
5034;1;5;2023;1;REGALIAS;313382745,00;0.041301
5034;1;5;2023;2;REGALIAS;235949077,00;0.030468
5034;1;5;2023;2;REGALIAS;208387806,00;0.026064
5034;1;5;2023;2;REGALIAS;306771066,00;0.003433
5034;1;6;2023;1;REGALIAS;4301,00;0.000046
